question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
What is the architectural style of Hellens Manor?,"[""Tudor"", ""Tudor architecture""]",Q3129858,P149,Q509364,Tudor,Q3129858 P149 Q509364,Q3129858 P149,Hellens Manor,architectural style,Tudor architecture
What sport is the Iași Open associated with?,"[""tennis"", ""lawntennis"", ""lawn tennis""]",Q99194720,P641,Q847,tennis,Q99194720 P641 Q847,Q99194720 P641,Iași Open,sport,tennis
What is the architectural style of the joined-log structure?,"[""rustic architecture"", ""Rustic style"", ""vernacular architecture""]",Q695207,P149,Q2657199,Rustic style,Q695207 P149 Q2657199,Q695207 P149,joined-log structure,architectural style,rustic architecture
What sport did Jinks Coleman participate in or is associated with?,"[""basket ball"", ""b-ball"", ""basketball"", ""Basketball"", ""hoops"", ""BB""]",Q6202593,P641,Q5372,basketball,Q6202593 P641 Q5372,Q6202593 P641,Jinks Coleman,sport,basketball
"What educational institution did Caspar Wistar Hodge, Sr. attend?","[""Princeton Theological Seminary"", ""PTS"", ""Princeton University"", ""Princeton"", ""Princeton Seminary"", ""princeton.edu"", ""Princeton College"", ""College of New Jersey""]",Q18639720,P69,Q21578,College of New Jersey,Q18639720 P69 Q21578,Q18639720 P69,"Caspar Wistar Hodge, Sr.",educated at,Princeton University
What is the capital of Tapanuli Selatan?,"[""Sipirok""]",Q5914,P36,Q7525801,Sipirok,Q5914 P36 Q7525801,Q5914 P36,Tapanuli Selatan,capital,Sipirok
Who was the mother of Carmen Morla Lynch?,"[""Luisa Lynch del Solar"", ""Luisa Lynch""]",Q8338687,P25,Q9025463,Luisa Lynch,Q8338687 P25 Q9025463,Q8338687 P25,Carmen Morla Lynch,mother,Luisa Lynch
Who is James Cobb White's relative?,"[""Alex Xenophon Demirjian Gray"", ""James White"", ""James"", ""James White (New South Wales politician)"", ""Harold White"", ""Patrick White"", ""Patrick Victor Martindale White""]",Q21177013,P1038,Q16062588,James,Q21177013 P1038 Q16062588,Q21177013 P1038,James Cobb White,relative,James White
"What is the name of the city in Lucas County, Iowa, United States, that serves as the county seat?","[""Chariton, Iowa"", ""Chariton""]",Q485804,P36,Q988728,"Chariton, Iowa",Q485804 P36 Q988728,Q485804 P36,Lucas County,capital,Chariton
"What channel, network, website or service broadcasted More or Less?","[""Radio 4"", ""World Service"", ""BBC World Service"", ""BBC Radio 4"", ""The World Service"", ""BBC Radio Four"", ""Radio Four""]",Q6911165,P3301,Q795598,BBC Radio 4,Q6911165 P3301 Q795598,Q6911165 P3301,More or Less,broadcast by,BBC Radio 4
What type of cuisine is spaghetti?,"[""Italian cooking"", ""Italian food"", ""Italian"", ""Italian cuisine"", ""cuisine of Italy""]",Q20026,P2012,Q192786,Italian,Q20026 P2012 Q192786,Q20026 P2012,spaghetti,cuisine,Italian cuisine
What educational institution did Christopher Pepys attend?,"[""Ripon Clergy College"", ""Oriel College"", ""Ripon College Cuddesdon"", ""Winchester College"", ""Cuddesdon College""]",Q5113051,P69,Q1059517,Winchester College,Q5113051 P69 Q1059517,Q5113051 P69,Christopher Pepys,educated at,Winchester College
What is the capital of Montrose County?,"[""Montrose, Colorado"", ""Montrose""]",Q312740,P36,Q994436,Montrose,Q312740 P36 Q994436,Q312740 P36,Montrose County,capital,Montrose
In which administrative division is the small city of Winnsboro located as the governmental seat in the United States?,"[""Franklin Parish, Louisiana"", ""Franklin"", ""Franklin Parish""]",Q2608168,P1376,Q504391,Franklin,Q2608168 P1376 Q504391,Q2608168 P1376,Winnsboro,capital of,Franklin Parish
What is the color of the flag of Armenia?,"[""color blue"", ""orange color"", ""blue color"", ""Blue (RGB)"", ""red color"", ""X11 blue"", ""Blue (RGB) (X11 blue)"", ""red"", ""blue"", ""Blue X11 blue"", ""orange"", ""color orange""]",Q33213,P462,Q3142,red,Q33213 P462 Q3142,Q33213 P462,flag of Armenia,color,red
What educational institution did Libby Burnham attend?,"[""Queen's College"", ""Dalhousie University"", ""Dalhousie College"", ""The Governors of Dalhousie College and University"", ""Acadia University""]",Q6540419,P69,Q337382,Acadia University,Q6540419 P69 Q337382,Q6540419 P69,Libby Burnham,educated at,Acadia University
Who are the characters in The Adventure of the Red-Headed League?,"[""Sherlock Holmes""]",Q461026,P674,Q4653,Sherlock Holmes,Q461026 P674 Q4653,Q461026 P674,The Adventure of the Red-Headed League,characters,Sherlock Holmes
"What is the capital of a county in Chaharmahal and Bakhtiari Province, Iran?","[""Ardal"", ""Ardel""]",Q1279017,P36,Q889142,Ardal,Q1279017 P36 Q889142,Q1279017 P36,Ardal County,capital,Ardal
What type of cuisine is tempura a dish in?,"[""Japanese cuisine"", ""Japanese food"", ""cuisine of Japan""]",Q328709,P2012,Q234138,Japanese cuisine,Q328709 P2012 Q234138,Q328709 P2012,tempura,cuisine,Japanese cuisine
Who was the father of Emperor Yin of Later Han?,"[""Emperor Gaozu of Later Han"", ""Gao Zu"", ""Liu Zhiyuan""]",Q713108,P22,Q708522,Liu Zhiyuan,Q713108 P22 Q708522,Q713108 P22,Emperor Yin of Later Han,father,Emperor Gaozu of Later Han
"What is the capital of Hughes County in South Dakota, United States?","[""Pierre, SD"", ""Pierre"", ""Pierre, South Dakota""]",Q495629,P36,Q40747,Pierre,Q495629 P36 Q40747,Q495629 P36,Hughes County,capital,Pierre
What is the religion of the ecclesiastical letter?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Catholic Church's""]",Q2731728,P140,Q9592,Catholic Church's,Q2731728 P140 Q9592,Q2731728 P140,ecclesiastical letter,religion,Catholic Church
What is the country of citizenship of Im Su-jeong?,"[""Korea Republic"", ""South Korea"", ""S. Korea"", ""kr"", ""\ud83c\uddf0\ud83c\uddf7"", ""KOR"", ""Republic of Korea"", ""ROK"", ""Rep. Korea""]",Q292723,P27,Q884,South Korea,Q292723 P27 Q884,Q292723 P27,Im Su-jeong,country of citizenship,South Korea
Who composed the music for Alessandro nelle Indie?,"[""Giovanni Pacini""]",Q4716453,P86,Q357022,Giovanni Pacini,Q4716453 P86 Q357022,Q4716453 P86,Alessandro nelle Indie,composer,Giovanni Pacini
What is the capital of Wells County in Indiana?,"[""Bluffton, Indiana"", ""Bluffton""]",Q503478,P36,Q748325,Bluffton,Q503478 P36 Q748325,Q503478 P36,Wells County,capital,Bluffton
"What is the capital of Santa Cruz County in Arizona, United States?","[""Nogales, Arizona"", ""Nogales""]",Q58689,P36,Q79783,Nogales,Q58689 P36 Q79783,Q58689 P36,Santa Cruz County,capital,Nogales
What is the capital of Haute-Kotto Prefecture?,"[""Bria""]",Q848596,P36,Q598667,Bria,Q848596 P36 Q598667,Q848596 P36,Haute-Kotto Prefecture,capital,Bria
"Where did Oberto, conte di San Bonifacio have its first performance?","[""Milan Scala"", ""New Royal-Ducal Theatre at La Scala"", ""Nuovo Regio Ducal Teatro alla Scala"", ""Scala"", ""La Scala"", ""Teatro alla Scala"", ""Nuovo Regio Ducal Teatro""]",Q636873,P4647,Q5471,La Scala,Q636873 P4647 Q5471,Q636873 P4647,"Oberto, conte di San Bonifacio",location of first performance,La Scala
What channel broadcasts Troféu Domingão Melhores do Ano?,"[""Globo"", ""Rede Globo"", ""TV Globo""]",Q10328388,P3301,Q3587,Rede Globo,Q10328388 P3301 Q3587,Q10328388 P3301,Troféu Domingão Melhores do Ano,broadcast by,TV Globo
What is Paul Garnault's occupation?,"[""TV actress"", ""lecturer"", ""academic lecturer"", ""actress"", ""play director"", ""stage director"", ""theatrical director"", ""director"", ""actresses"", ""actors"", ""theater director"", ""TV actor"", ""actor"", ""theatre director"", ""television actor"", ""television actress"", ""guest lecturer"", ""college teachers""]",Q16194072,P106,Q33999,actor,Q16194072 P106 Q33999,Q16194072 P106,Paul Garnault,occupation,actor
Where was St Vincent Cotton educated?,"[""Christ Church"", ""The House"", ""Westminster School"", ""Christchurch, Oxford"", ""Christ Church College"", ""The Royal College of St. Peter in Westminster"", ""Christ Church, Oxford""]",Q7595613,P69,Q1341516,Westminster School,Q7595613 P69 Q1341516,Q7595613 P69,St Vincent Cotton,educated at,Westminster School
What country recognizes Jerónimo Lagos Lisboa as its citizen?,"[""Republica de Chile"", ""Republic of Chile"", ""\ud83c\udde8\ud83c\uddf1"", ""CHI"", ""Chile"", ""Rep\u00fablica de Chile"", ""cl""]",Q5558739,P27,Q298,Chile,Q5558739 P27 Q298,Q5558739 P27,Jerónimo Lagos Lisboa,country of citizenship,Chile
What is the capital of Gubadly District?,"[""Gubadly"", ""Gubadli"", ""Qubadli""]",Q644048,P36,Q1017710,Qubadli,Q644048 P36 Q1017710,Q644048 P36,Gubadly District,capital,Gubadly
What country recognizes Nassir Nuh Abdi as its citizen?,"[""Kenya"", ""Republic of Kenya"", ""\ud83c\uddf0\ud83c\uddea"", ""ke"", ""KE"", ""KEN""]",Q6967675,P27,Q114,Kenya,Q6967675 P27 Q114,Q6967675 P27,Nassir Nuh Abdi,country of citizenship,Kenya
What educational institution did Wilfrid Rene Wood attend?,"[""Central School of Arts and Crafts"", ""The Slade"", ""MMU"", ""Manchester Polytechnic"", ""Manchester Metropolitan University"", ""The Slade School of Fine Art"", ""Central School of Art and Design"", ""The Manchester Metropolitan University"", ""Slade School of Fine Art"", ""Central School of Art & Design"", ""Slade School of Art"", ""Slade Art School""]",Q16008130,P69,Q15208489,Central School of Arts and Crafts,Q16008130 P69 Q15208489,Q16008130 P69,Wilfrid Rene Wood,educated at,Central School of Art and Design
What country recognizes Marc Jousset as its citizen?,"[""France"", ""fr"", ""R\u00e9publique fran\u00e7aise"", ""FRA"", ""Republic of France"", ""FR"", ""La France"", ""the Hexagon"", ""French Republic""]",Q3845368,P27,Q142,France,Q3845368 P27 Q142,Q3845368 P27,Marc Jousset,country of citizenship,France
"What country is Tsagan Aman, a human settlement in Yustinsky District, Republic of Kalmykia, part of?","[""RUS"", ""Russia"", ""Russian Federation"", ""ru"", ""Rossijskaja Federatsija"", ""Rossija"", ""RF"", ""Rossiyskaya Federatsiya"", ""RU"", ""Rossiya"", ""Rus""]",Q4503012,P17,Q159,Russia,Q4503012 P17 Q159,Q4503012 P17,Tsagan Aman,country,Russia
Who was the father of Qutb ad-Din Mawdud?,"[""Zengi"", ""Imad ad-Din Zengi"", ""Imad al-Din Zengi""]",Q1135925,P22,Q189550,Imad al-Din Zengi,Q1135925 P22 Q189550,Q1135925 P22,Qutb ad-Din Mawdud,father,Imad ad-Din Zengi
What channel broadcast the 2015 TVB Star Awards Malaysia?,"[""Astro Wah Lai Toi""]",Q21245940,P3301,Q1998701,Astro Wah Lai Toi,Q21245940 P3301 Q1998701,Q21245940 P3301,2015 TVB Star Awards Malaysia,broadcast by,Astro Wah Lai Toi
"Who is the director of the Doctor Who episode titled ""Deep Breath"" from Season 8, Episode 1?","[""Ben Wheatley"", ""Wheatley""]",Q17343514,P57,Q2895597,Wheatley,Q17343514 P57 Q2895597,Q17343514 P57,Deep Breath,director,Ben Wheatley
"Who was the author of ""Ood-Le-Uk the Wanderer""?","[""Alice Alison Lide""]",Q7095249,P50,Q19864033,Alice Alison Lide,Q7095249 P50 Q19864033,Q7095249 P50,Ood-Le-Uk the Wanderer,author,Alice Alison Lide
What was Volker Vogeler's occupation?,"[""TV director"", ""scriptwriter"", ""actress"", ""screenwriter"", ""film director"", ""writer"", ""movie director"", ""director"", ""actresses"", ""motion picture director"", ""actors"", ""television director"", ""screenplay writer"", ""actor"", ""script writer"", ""scenarist"", ""screen writer""]",Q102045,P106,Q2526255,film director,Q102045 P106 Q2526255,Q102045 P106,Volker Vogeler,occupation,film director
What is the publisher of Check vs. Mate?,"[""TopWare Interactive""]",Q3636865,P123,Q4051591,TopWare Interactive,Q3636865 P123 Q4051591,Q3636865 P123,Check vs. Mate,publisher,TopWare Interactive
Where was Charles Pergler born?,"[""Libl\u00edn"", ""Liblin""]",Q5081590,P19,Q2702762,Liblín,Q5081590 P19 Q2702762,Q5081590 P19,Charles Pergler,place of birth,Liblín
What country recognizes Valérie Hould-Marchand as its citizen?,"[""can"", ""CAN"", ""Canadian"", ""Can."", ""ca"", ""Canada"", ""CA"", ""Dominion of Canada"", ""British North America""]",Q1965154,P27,Q16,Canadian,Q1965154 P27 Q16,Q1965154 P27,Valérie Hould-Marchand,country of citizenship,Canada
Who was Graham Waddell's relative?,"[""Thomas Waddell"", ""John Waddell"", ""John William Waddell""]",Q21069938,P1038,Q3525643,Thomas Waddell,Q21069938 P1038 Q3525643,Q21069938 P1038,Graham Waddell,relative,Thomas Waddell
What is Mark Brain's occupation?,"[""D.J."", ""dee jay"", ""record producer"", ""music producer"", ""disquaire"", ""disc jockey"", ""dj"", ""deejay"", ""discaire"", ""DJ"", ""disk jockey"", ""dee-jay""]",Q72052,P106,Q130857,DJ,Q72052 P106 Q130857,Q72052 P106,Mark Brain,occupation,disc jockey
"Who directed the 1976 film ""The Song Remains the Same""?","[""Peter Clifton"", ""Joe Massot""]",Q510381,P57,Q7173307,Peter Clifton,Q510381 P57 Q7173307,Q510381 P57,The Song Remains the Same,director,Peter Clifton
Who directed The Cruel Embrace?,"[""Marion H\u00e4nsel""]",Q15785527,P57,Q460742,Marion Hänsel,Q15785527 P57 Q460742,Q15785527 P57,The Cruel Embrace,director,Marion Hänsel
Where did Alexander O'Handley receive his education?,"[""Dalhousie College"", ""The Governors of Dalhousie College and University"", ""St. Francis Xavier University"", ""Dalhousie University""]",Q4719768,P69,Q2038889,St. Francis Xavier University,Q4719768 P69 Q2038889,Q4719768 P69,Alexander O'Handley,educated at,St. Francis Xavier University
What is the country of Dhaniakhali community development block?,"[""Bharat"", ""India"", ""Aryavratt"", ""\ud83c\uddee\ud83c\uddf3"", ""Republic of India"", ""Bharatvarsh"", ""Hindustan"", ""IN"", ""in"", ""IND""]",Q5268978,P17,Q668,India,Q5268978 P17 Q668,Q5268978 P17,Dhaniakhali community development block,country,India
What country is the Teles Pires River located in?,"[""Federative Republic of Brazil"", ""br"", ""BRA"", ""BR"", ""Brazil"", ""\ud83c\udde7\ud83c\uddf7""]",Q745263,P17,Q155,Brazil,Q745263 P17 Q155,Q745263 P17,Teles Pires River,country,Brazil
What educational institution did M. M. De Voe attend?,"[""Columbia Univ."", ""Columbia (university)"", ""College of Notre Dame of Maryland"", ""Columbia University"", ""Notre Dame of Maryland University"", ""King's College of New York"", ""Columbia university"", ""columbia.edu"", ""Colombia university"", ""King's College"", ""Columbia University in the City of New York"", ""Columbia U"", ""Columbia"", ""Columbia College"", ""Columbia University in New York"", ""Columbia University School of the Arts""]",Q6712859,P69,Q7063504,College of Notre Dame of Maryland,Q6712859 P69 Q7063504,Q6712859 P69,M. M. De Voe,educated at,Notre Dame of Maryland University
What is the capital of Southam Rural District?,"[""Southam"", ""Southam, Warwickshire""]",Q7569079,P36,Q2560184,Southam,Q7569079 P36 Q2560184,Q7569079 P36,Southam Rural District,capital,Southam
What was Claudio Huepe's occupation?,"[""polit."", ""pol"", ""economist"", ""political figure"", ""diplomat"", ""political leader"", ""economists"", ""politician""]",Q2336523,P106,Q82955,politician,Q2336523 P106 Q82955,Q2336523 P106,Claudio Huepe,occupation,politician
Who is the father of Abu-Hudhayfah ibn Utbah?,"[""Utba ibn Rabia"", ""Utbah ibn Rabi'ah"", ""Utba ibn Rabi'ah""]",Q1110826,P22,Q3457432,Utbah ibn Rabi'ah,Q1110826 P22 Q3457432,Q1110826 P22,Abu-Hudhayfah ibn Utbah,father,Utba ibn Rabi'ah
What is the capital of Ingende Territory?,"[""Ingende""]",Q3150929,P36,Q84844330,Ingende,Q3150929 P36 Q84844330,Q3150929 P36,Ingende Territory,capital,Ingende
"Where was József Gáti, the Czechoslovak member of the national parliament, born?","[""Ungv\u00e1r"", ""Uzhhorod"", ""Ugohrad"", ""Uzhgorod"", ""Ungwar"", ""U\u017ehorod""]",Q12027574,P19,Q156711,Uzhhorod,Q12027574 P19 Q156711,Q12027574 P19,József Gáti,place of birth,Uzhhorod
What type of cuisine is Belyash associated with?,"[""Bashkir cuisine"", ""Tatar cuisine""]",Q2641023,P2012,Q4080158,Bashkir cuisine,Q2641023 P2012 Q4080158,Q2641023 P2012,Belyash,cuisine,Bashkir cuisine
What educational institution did Rudolf Hommes attend?,"[""University of the Andes"", ""Massachusetts Agricultural College"", ""University of Massachusetts, Amherst"", ""Universidad de los Andes"", ""Massachusetts State College"", ""Uniandes"", ""University of Los Andes"", ""University of los Andes"", ""UMass Amherst"", ""University of Massachusetts Amherst""]",Q7377211,P69,Q15142,University of Massachusetts Amherst,Q7377211 P69 Q15142,Q7377211 P69,Rudolf Hommes,educated at,University of Massachusetts Amherst
What sport does FC Karlivka participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q2343673,P641,Q2736,football,Q2343673 P641 Q2736,Q2343673 P641,FC Karlivka,sport,association football
What country recognizes Manuel Núñez Tovar as its citizen?,"[""Venezuela"", ""Bolivarian Republic of Venezuela"", ""BR Venezuela"", ""Vzla"", ""\ud83c\uddfb\ud83c\uddea"", ""VEN"", ""Estados Unidos de Venezuela"", ""VE""]",Q3534234,P27,Q717,Venezuela,Q3534234 P27 Q717,Q3534234 P27,Manuel Núñez Tovar,country of citizenship,Venezuela
Who directed The Infamous Lady?,"[""Geoffrey Barkas"", ""Michael Barringer""]",Q7741933,P57,Q5534433,Geoffrey Barkas,Q7741933 P57 Q5534433,Q7741933 P57,The Infamous Lady,director,Geoffrey Barkas
What country is the Monument of Japan located in?,"[""Ja"", ""Land of the Rising Sun"", ""Nihon"", ""JA"", ""JP"", ""State of Japan"", ""Nippon"", ""Nihon-koku"", ""jp"", ""JPN"", ""Nippon-koku"", ""Japan"", ""JAP"", ""Jap""]",Q13034142,P17,Q17,Japan,Q13034142 P17 Q17,Q13034142 P17,Monument of Japan,country,Japan
What educational institution did Henry Stallard attend?,"[""Gonville and Caius College"", ""Caius College"", ""Sherborne School"", ""Caius"", ""Gonville Hall""]",Q686124,P69,Q2278254,Sherborne School,Q686124 P69 Q2278254,Q686124 P69,Henry Stallard,educated at,Sherborne School
"Who was the main creator of AARGH, the 76-page one-off comics anthology published by Mad Love in 1988?","[""The Original Writer"", ""Alan Moore"", ""Curt Vile"", ""Translucia Baboon"", ""Mad Love"", ""Jill de Ray""]",Q4649923,P50,Q205739,Mad Love,Q4649923 P50 Q205739,Q4649923 P50,AARGH,author,Alan Moore
What was Argiris Kavidas' occupation?,"[""actress"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""actresses"", ""actors"", ""actor""]",Q4789596,P106,Q2526255,director,Q4789596 P106 Q2526255,Q4789596 P106,Argiris Kavidas,occupation,film director
What is the administrative seat for Chulucanas District?,"[""Chulucanas""]",Q2973511,P36,Q1089449,Chulucanas,Q2973511 P36 Q1089449,Q2973511 P36,Chulucanas District,capital,Chulucanas
What is the capital of Feimaņi Parish?,"[""Feima\u0146i""]",Q4482402,P36,Q11697770,Feimaņi,Q4482402 P36 Q11697770,Q4482402 P36,Feimaņi Parish,capital,Feimaņi
What type of cuisine is pancake a part of in Poland?,"[""Polish cuisine"", ""French food"", ""Polish dish"", ""cuisine of Poland"", ""Austrian cuisine"", ""Polish food"", ""Russian traditional cuisine"", ""cuisine of Austria"", ""Russian cuisine"", ""French cuisine"", ""Russian food"", ""cuisine of France""]",Q44541,P2012,Q756020,Polish dish,Q44541 P2012 Q756020,Q44541 P2012,pancake,cuisine,Polish cuisine
What is Denys Desjardins' occupation?,"[""DOP"", ""movie director"", ""motion picture editor"", ""film producer"", ""cinematographer"", ""screen writer"", ""editor"", ""director of photography"", ""location sound recordist"", ""director"", ""script writer"", ""scriptwriter"", ""movie producer"", ""writer"", ""screenplay writer"", ""video editor"", ""film editor"", ""location sound engineer"", ""screenwriter"", ""film director"", ""producer"", ""motion picture director"", ""sound mixer"", ""production sound mixer"", ""scenarist""]",Q3023402,P106,Q28389,screenwriter,Q3023402 P106 Q28389,Q3023402 P106,Denys Desjardins,occupation,screenwriter
What country is the Ulukent mine located in?,"[""Republic of Turkey"", ""Turkey"", ""\ud83c\uddf9\ud83c\uddf7"", ""TUR"", ""TR""]",Q7880800,P17,Q43,Turkey,Q7880800 P17 Q43,Q7880800 P17,Ulukent mine,country,Turkey
What type of food is oden?,"[""Japanese cuisine"", ""Japanese food"", ""cuisine of Japan""]",Q655040,P2012,Q234138,Japanese food,Q655040 P2012 Q234138,Q655040 P2012,oden,cuisine,Japanese cuisine
Who is the mother of Nicolae II Patrascu?,"[""Doamna Stanca""]",Q3339928,P25,Q12726871,Doamna Stanca,Q3339928 P25 Q12726871,Q3339928 P25,Nicolae II Patrascu,mother,Doamna Stanca
What is the architectural style of the John M. and Elizabeth Bates House No. 4?,"[""Northwest Modern"", ""Arts and Crafts movement"", ""Arts & Crafts"", ""Arts & Crafts Movement"", ""Northwest Regional style""]",Q60032513,P149,Q330369,Arts and Crafts movement,Q60032513 P149 Q330369,Q60032513 P149,John M. and Elizabeth Bates House No. 4,architectural style,Arts and Crafts movement
"Who was the father of James Evan Baillie, the British politician from the early 19th century?","[""Evan Baillie""]",Q6133534,P22,Q5415317,Evan Baillie,Q6133534 P22 Q5415317,Q6133534 P22,James Evan Baillie,father,Evan Baillie
Who was the father of Giacomo Fontana?,"[""J\u00f3zef Fontana"", ""Jozef Fontana""]",Q526665,P22,Q1715081,Józef Fontana,Q526665 P22 Q1715081,Q526665 P22,Giacomo Fontana,father,Józef Fontana
"What type of food is served by ""L'Ami Louis"" that includes foie gras?","[""French cuisine"", ""French food"", ""cuisine of France""]",Q34807,P2012,Q6661,French cuisine,Q34807 P2012 Q6661,Q34807 P2012,foie gras,cuisine,French cuisine
"Who wrote the short story ""Master and Man""?","[""Lev Tolstoy"", ""Leo Tolstoy's"", ""Leo, graf Tolstoy"", ""Count Lev Tolstoy"", ""Lev Nikolayevich, Count Tolstoy"", ""Lev, graf Tolsztoj"", ""Leo Tolstoy"", ""Lev, Count Tolstoy"", ""Tolstoy"", ""Lev Nikolaevich Tolstoy"", ""Lew, graf Tolstoi"", ""Lev Nikolaevich, graf Tolsto\u012d"", ""Tolstoi"", ""Count Leo Tolstoy""]",Q1302957,P50,Q7243,Leo Tolstoy's,Q1302957 P50 Q7243,Q1302957 P50,Master and Man,author,Leo Tolstoy
¿Quién fue el productor de ¿Quién contra nosotros?,"[""Alexis V\u00e9lez Alberio"", ""Luis \""Funky\"" Marrero"", ""De la A a la Z"", ""Funky"", ""Alex Zurdo"", ""Zurdo""]",Q96092557,P162,Q506405,Funky,Q96092557 P162 Q506405,Q96092557 P162,¿Quién contra nosotros?,producer,Funky
What is the seat of government of Gmina Charsznica?,"[""Charsznica""]",Q637235,P36,Q3898497,Charsznica,Q637235 P36 Q3898497,Q637235 P36,Gmina Charsznica,capital,Charsznica
What is the architectural style of the South Broad-East Fifth Streets Historic District?,"[""Neo-Georgian"", ""Queen Anne architectural style"", ""Queen Anne style"", ""Queen Anne style architecture"", ""Colonial Revival"", ""Colonial Revival architecture"", ""Colonial"", ""Colonial Revival style"", ""Neocolonial"", ""Queen Anne architecture"", ""Georgian Revival""]",Q17560774,P149,Q5148367,Colonial Revival,Q17560774 P149 Q5148367,Q17560774 P149,South Broad-East Fifth Streets Historic District,architectural style,Colonial Revival architecture
What channel broadcast the 2008 Astro Wah Lai Toi Drama Awards?,"[""Astro Wah Lai Toi""]",Q24912645,P3301,Q1998701,Astro Wah Lai Toi,Q24912645 P3301 Q1998701,Q24912645 P3301,2008 Astro Wah Lai Toi Drama Awards,broadcast by,Astro Wah Lai Toi
In which collections was Xuthal of the Dusk republished?,"[""The Sword of Conan"", ""Weird Tales"", ""Conan the Adventurer""]",Q4369850,P1433,Q2991591,Conan the Adventurer,Q4369850 P1433 Q2991591,Q4369850 P1433,Xuthal of the Dusk,published in,Conan the Adventurer
What genre of music is El Miedo a la Libertad known for?,"[""Tango"", ""tango"", ""tango music""]",Q5351592,P136,Q14390274,tango,Q5351592 P136 Q14390274,Q5351592 P136,El Miedo a la Libertad,genre,tango music
What is the name of Pierre Gaudin's father?,"[""Jean Gaudin"", ""Auguste Jean Gaudin"", ""Ernest Jean Gaudin""]",Q3385169,P22,Q1447071,Jean Gaudin,Q3385169 P22 Q1447071,Q3385169 P22,Pierre Gaudin,father,Jean Gaudin
Who is the author of The Sleeping Clergyman?,"[""Osborne H. Mavor"", ""O. H. Mavor"", ""James Bridie"", ""Osborne Henry Mavor""]",Q7764790,P50,Q11270727,James Bridie,Q7764790 P50 Q11270727,Q7764790 P50,The Sleeping Clergyman,author,James Bridie
